Date,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/armored-core-spoiler-garage,archived stream spoiler chats/botwtotk-shrine-spoiler,archived stream spoiler chats/call-me-al-somnium-spoiler,archived stream spoiler chats/dp-spoiler-chat-on-jads,archived stream spoiler chats/ff16-spoilers,archived stream spoiler chats/ghost-trick-spoilers,archived stream spoiler chats/inscryption-spoiler-deck,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/outer-wilds-spoiler-chat,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/va11-hall-of-spoilers,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,archived stream spoiler chats/zero-escape-spoiler-chan,dragons-den/9-rows-9-columns-9-boxes,dragons-den/AI-Somnium-Files-2-spoiler-den,dragons-den/baldurs-gate-3-goty-den,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,dragons-den/evolve-idol,dragons-den/game-jam-dvd,dragons-den/GoW-Raggyrock-spoiler-Den,dragons-den/Guilty-Gear-Den,dragons-den/Jenshin-Den,dragons-den/roguelike-den,Important/announcements,Important/stream-announcements,MAIN/cringe-cafe,MAIN/dragons-den,MAIN/general,MAIN/mental-health,MAIN/share-stuff-you-made,Stream Stuff/jadseya-awards-2023,Stream Stuff/stream-art-museum
2023-10-08 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2900,33,0,0,24993,60,0,0,1018,62359,412,197,567,0,876
2023-10-15 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,5950,0,0,0,30298,72,0,0,1787,66262,828,126,460,0,196
2023-10-22 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10546,18,0,0,28534,76,0,1401,2278,81005,820,134,470,0,1750
2023-10-29 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,13995,6,0,0,24214,32,0,941,653,84355,841,161,864,0,647
2023-11-05 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,6378,9,0,0,30788,111,0,223,2264,85381,568,55,730,0,997
2023-11-12 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,526,0,7207,0,0,0,26597,66,0,0,3308,97789,556,45,729,0,290
2023-11-19 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,135,0,8818,19,0,0,20533,27,0,0,1008,95444,534,224,781,0,127
2023-11-26 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,6470,0,0,7,0,193,0,8526,1,0,0,24091,140,0,1016,2176,117577,983,106,1298,10259,2733
2023-12-03 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,326,0,8436,0,0,0,26451,4,3737,270,2999,137662,1058,91,1736,3916,5025
2023-12-10 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,99,0,5982,0,0,0,28145,14,0,0,3600,98511,1247,145,978,1147,1675
2023-12-17 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,144,0,8902,0,0,0,30506,10,0,0,2034,87499,838,51,969,737,417
2023-12-24 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,115,0,10499,0,0,0,35344,3,0,511,847,104721,1273,63,992,5764,1880
